adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,/2WZLSN9cdHCkJFbkj0oMfOfVHn8.jpg,,6000000,"Drama , War , Action",,792,tt0091763,en,Platoon,"As a young and naive recruit in Vietnam, Chris Taylor faces a moral crisis when confronted with the horrors of war and the duality of man.",35.726,/m3mmFkPQKvPZq5exmh0bDuXlD9T.jpg,"Hemdale Film Corporation , Cinema 84 , Cinema 86","United States of America , United Kingdom",1986-12-19,138530565,120,"English , Tiếng Việt",Released,The first casualty of war is innocence.,Platoon,False,7.747,3720
False,/veWYYIWNWSuHwasE5C0VM6d8YBh.jpg,,66000,"War , History , Drama",,31344,tt0058863,fr,La 317ème section,"In Laos, 1954, eight days before the french defeat in the Indochina war, the 317th platoon – four french soldiers and 41 laotian combatants – has been ordered to leave its outpost and to retreat for the plains of Diên Biên Phu, where the french army is getting stucked. Led by the inexperienced and idealistic sous-lieutenant Torrens, fresh out of the military academy, and by adjutant Willsdorf, a WWII veteran of the Werhmacht, the group must cross 150 kilometers of jungle. But dripping rainwater, hostile nature, and the Viêt-minh ambushes expose them to constant danger.",6.226,/8mQIn1FMnwEyPiMMrYVf0R0HcJE.jpg,"Rome Paris Films , Producciones Benito Perojo","France , Spain",1965-03-31,306505,100,"Français , Tiếng Việt",Released,,The 317th Platoon,False,7.345,58
False,/rvXqwZZNMqHjhjd98ObjSvhiNFs.jpg,,6400000,"Comedy , Drama",,5143,tt0091167,en,Hannah and Her Sisters,"Between two Thanksgivings, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.",11.191,/gARgIRb2QFRFVrsziwWE389u1pK.jpg,"Orion Pictures , Jack Rollins & Charles H. Joffe Productions",United States of America,1986-02-07,40084041,107,English,Released,A story between two Thanksgivings.,Hannah and Her Sisters,False,7.554,817
False,/yjGllQUm28R4X9xD9T5xMszirgw.jpg,,8000000,"Crime , Drama",,235,tt0092005,en,Stand by Me,"Gordie, Chris, Teddy and Vern are four friends who decide to hike to find the corpse of Ray Brower, a local teenager, who was hit by a train while plucking blueberries in the wild.",31.634,/vz0w9BSehcqjDcJOjRaCk7fgJe7.jpg,"Columbia Pictures , Act III Productions",United States of America,1986-08-08,52287414,89,English,Released,"For some, it's the last real taste of innocence, and the first real taste of life.",Stand by Me,False,7.869,4777
False,/1aABIiqBY7yoQESE8qWvR0w9bJZ.jpg,Stand by Me Doraemon,35000000,"Animation , Family , Science Fiction , Fantasy",https://doraemon-3d.com/1/,265712,tt3331846,ja,STAND BY ME ドラえもん,"In the suburbs of Tokyo some time ago, there lived a clumsy boy about 10 years old. There appeared in front of him named Sewashi, Nobita's descendant of four generations later from the 22nd century, and Doraemon, a 22nd century cat-type caretaker robot who helps people with its secret gadgets. Sewashi claims that his family is suffering from the debts Nobita made even to his generation, so in order to change this disastrous future, he brought along Doraemon as Nobita's caretaker to bring happiness to his future, although Doraemon is not happy about this. And so Sewashi installed an accomplishment program into Doraemon forcing him to take care of Nobita. Unless he makes Nobita happy, Doraemon can no longer go back to the 22nd century. This is how the life of Doraemon and Nobita begins. Will Doraemon succeed this mission and return to the 22nd century?",47.221,/wc7XQbfx6EIQqCuvmBMt3aisb2Y.jpg,"Toho , Shin-Ei Animation , Shirogumi , Robot Communications , Next Entertainment World",Japan,2014-08-08,83061158,90,日本語,Released,Is Doraemon ending this summer?,Stand by Me Doraemon,False,7.349,391
False,/t58wkvQwVdfhbkdDFTkoJL7lMA6.jpg,An American Tail Collection,9000000,"Drama , Family , Animation , Adventure",https://www.uphe.com/movies/an-american-tail,4978,tt0090633,en,An American Tail,"A young mouse named Fievel and his family decide to migrate to America, a ""land without cats,"" at the turn of the 20th century. But somehow, Fievel ends up in the New World alone and must fend off not only the felines he never thought he'd have to deal with again but also the loneliness of being away from home.",20.397,/wjhUy9af89vc9CviKcPgTNTrmIq.jpg,"Universal Pictures , Amblin Entertainment , Sullivan Bluth Studios",United States of America,1986-11-21,84542002,80,English,Released,"Meet Fievel. In his search to find his family, he discovered America.",An American Tail,False,6.717,1129
False,/fWFYUWs2vy5O0dyhQLZJvXQcf67.jpg,,7520000,"Adventure , Drama , Family",,47951,tt0097050,ja,子猫物語,"When Milo the cat and Otis the dog are separated, they each set off on an adventurous and often perilous quest across mountains, plains, and snow-covered lands to reunite with one another.",14.634,/imHIqEfWRZuJ2vLow0UJ9aqjyEO.jpg,Fuji Television Network,Japan,1986-06-27,13299749,76,日本語,Released,Milo is one lucky cat. He's got nine lives and a best friend.,The Adventures of Milo and Otis,False,6.433,165
False,/n0mZ8zDCWBn9wycjXqTmkLLOiJa.jpg,,6000000,"Animation , Science Fiction , Action , Adventure , Family",,1857,tt0092106,en,The Transformers: The Movie,"The Autobots must stop a colossal planet-consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons.",18.533,/j4HTorvJdGOuIgGyE56fMCLmcCg.jpg,"De Laurentiis Entertainment Group , Marvel Productions , Hasbro , Sunbow Productions , Toei Animation","Japan , United States of America",1986-08-08,5849647,84,English,Released,Beyond good. Beyond evil. Beyond your wildest imagination.,The Transformers: The Movie,False,7.167,402
False,/8nSB593brq5iI3RTLGnjNqnhK46.jpg,Crocodile Dundee Collection,5000000,"Adventure , Comedy",,9671,tt0090555,en,Crocodile Dundee,"When a New York reporter plucks crocodile hunter Dundee from the Australian Outback for a visit to the Big Apple, it's a clash of cultures and a recipe for good-natured comedy as naïve Dundee negotiates the concrete jungle. Dundee proves that his instincts are quite useful in the city and adeptly handles everything from wily muggers to high-society snoots without breaking a sweat.",18.742,/pduPduL1ub5kok3lPYT15ryC9L6.jpg,"Paramount , Rimfire Films",Australia,1986-09-26,328203506,97,English,Released,There's a little of him in all of us.,Crocodile Dundee,False,6.379,1577
False,/q83qfC8fElBZPDPdUepKg05SwEn.jpg,Crocodile Dundee Collection,14000000,"Adventure , Comedy",,9396,tt0092493,en,Crocodile Dundee II,Australian outback expert protects his New York love from gangsters who've followed her down under.,20.989,/2Nf0xeDuToLHysdkWj3aT5r42rC.jpg,Paramount,"Australia , United States of America",1988-05-19,239606210,110,English,Released,The world's favourite adventurer is back for more! much more!,Crocodile Dundee II,False,5.803,923
False,/rz39qQDglxfpadDNVc30zL6EDuz.jpg,Crocodile Dundee Collection,21150000,"Adventure , Comedy",,9290,tt0231402,en,Crocodile Dundee in Los Angeles,"After settling in the tiny Australian town of Walkabout Creek with his significant other and his young son, Mick ""Crocodile"" Dundee is thrown for a loop when a prestigious Los Angeles newspaper offers his honey a job. The family migrates back to the United States, and Croc and son soon find themselves learning some lessons about American life -- many of them inadvertent",15.495,/hwt6iJjPuXRDKJON5s9G9pdfPbu.jpg,"Bungalow Productions , Silver Lion Films , Vision View Entertainment","Australia , United States of America",2001-04-12,39438674,95,English,Released,He heard there was wildlife in L.A. He didn't know how wild.,Crocodile Dundee in Los Angeles,False,5.242,516
